epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,399.677,2.97503,5.90197,2.52063,0.0004,0.10048,0.00145,0.0002,2.75716,6.85373,2.53823,0.000360046,0.000360046,0.000360046
2,782.505,2.79337,5.3734,2.31803,0.00029,0.10484,0.0004,0.00011,2.88422,6.37946,2.72557,0.000723149,0.000723149,0.000723149
3,1163.98,2.78105,5.13753,2.3025,0.00044,0.15015,0.00037,9e-05,3.19297,6.38122,3.07172,0.00107892,0.00107892,0.00107892
4,1536.54,2.90177,5.00003,2.3645,0.00049,0.12595,0.00948,0.00101,2.982,7.24722,2.9683,0.001078,0.001078,0.001078
5,1915.86,2.8281,4.74276,2.34793,0.20137,0.15626,0.00174,0.00061,2.92098,6.18997,2.93357,0.001067,0.001067,0.001067
6,2293.66,2.79197,4.6018,2.30674,0.60167,0.055,0.00519,0.00127,2.77935,5.16184,2.51197,0.00105601,0.00105601,0.00105601
7,2661.19,2.85389,4.37814,2.33986,0.62002,0.01961,0.00449,0.00109,2.87294,7.20321,2.51651,0.00104501,0.00104501,0.00104501
8,3063.22,2.80449,4.21231,2.30573,0.61831,0.01552,0.00832,0.00257,2.61885,4.48065,2.3762,0.00103401,0.00103401,0.00103401
9,3452.62,2.75102,4.14213,2.28248,0.6129,0.01224,0.00579,0.00156,2.69464,4.66398,2.43226,0.00102301,0.00102301,0.00102301
10,3843.71,2.75089,4.18327,2.29398,0.00369,0.22839,0.00497,0.00141,2.64069,4.7197,2.35248,0.00101201,0.00101201,0.00101201
11,4227.5,2.76099,4.02706,2.35329,0.43398,0.04128,0.00936,0.00204,2.81516,4.50353,2.4269,0.00100101,0.00100101,0.00100101
12,4606.32,2.69666,4.00006,2.32548,0.0017,0.38068,0.00559,0.00159,2.86604,4.21906,2.56003,0.000990012,0.000990012,0.000990012
13,4997.44,2.6802,3.90596,2.29065,0.20766,0.01224,0.00897,0.00218,2.69557,4.92,2.42299,0.000979013,0.000979013,0.000979013
14,5390.48,2.70388,3.85619,2.3053,0.00225,0.41235,0.0079,0.00222,2.75173,4.09534,2.51671,0.000968014,0.000968014,0.000968014
15,5765.25,2.63425,3.78903,2.2964,0.0039,0.32793,0.00982,0.00276,2.89103,4.13314,2.5963,0.000957015,0.000957015,0.000957015
16,6151.49,2.68603,3.80676,2.29454,0.21592,0.06313,0.00925,0.00273,2.70356,3.9864,2.51551,0.000946016,0.000946016,0.000946016
17,6531.78,2.6587,3.74751,2.25705,0.00454,0.40147,0.01184,0.00371,2.642,4.00517,2.4587,0.000935018,0.000935018,0.000935018
18,6910.82,2.64832,3.72571,2.30024,0.22278,0.03136,0.00904,0.00264,2.73691,4.32293,2.51623,0.000924019,0.000924019,0.000924019
19,7298.74,2.5864,3.70947,2.26724,0.21719,0.00816,0.01381,0.00397,2.64959,3.95233,2.50485,0.00091302,0.00091302,0.00091302
20,7672.65,2.53288,3.6498,2.2485,0.21821,0.02369,0.01376,0.00464,2.67077,3.76752,2.43613,0.000902021,0.000902021,0.000902021
21,8045.85,2.55192,3.59687,2.2265,0.27111,0.01144,0.01729,0.00546,2.5797,3.86108,2.39148,0.000891022,0.000891022,0.000891022
22,8425.54,2.542,3.46906,2.22859,0.21666,0.02128,0.02506,0.00799,2.50816,4.12636,2.41013,0.000880023,0.000880023,0.000880023
23,8794.52,2.57326,3.50004,2.27343,0.04894,0.02828,0.01656,0.00501,2.57893,3.7966,2.50246,0.000869024,0.000869024,0.000869024
24,9174.73,2.50944,3.45205,2.22879,0.21171,0.00656,0.01079,0.00363,2.62547,3.98328,2.39807,0.000858025,0.000858025,0.000858025
25,9559.2,2.47042,3.46779,2.19085,0.20923,0.01311,0.01744,0.00611,2.60577,3.89409,2.49769,0.000847026,0.000847026,0.000847026
26,9950.62,2.47552,3.37543,2.17187,0.05031,0.05762,0.01786,0.00543,2.66879,3.81047,2.51372,0.000836027,0.000836027,0.000836027
27,10342.1,2.47349,3.45287,2.18485,0.00334,0.4688,0.01195,0.00336,2.85512,3.70084,2.65225,0.000825029,0.000825029,0.000825029
28,10728.4,2.46233,3.36499,2.15789,0.02953,0.12649,0.02204,0.00675,2.72287,3.67419,2.59215,0.00081403,0.00081403,0.00081403
29,12392.6,2.44034,3.34831,2.20419,0.23709,0.05192,0.01908,0.00553,2.68684,3.89189,2.57457,0.000803031,0.000803031,0.000803031
30,12764.9,2.36523,3.25274,2.1491,0.24842,0.02392,0.02532,0.00843,2.68783,3.85165,2.47695,0.000792032,0.000792032,0.000792032
31,13159.2,2.39374,3.257,2.12844,0.05712,0.03639,0.02105,0.00504,2.66275,3.7787,2.51046,0.000781033,0.000781033,0.000781033
32,13535.3,2.42407,3.26797,2.14706,0.04856,0.043,0.0182,0.00682,2.80267,3.89496,2.62972,0.000770034,0.000770034,0.000770034
33,13915,2.37916,3.26297,2.14765,0.01823,0.03106,0.01815,0.00543,2.75619,4.00182,2.63714,0.000759035,0.000759035,0.000759035
34,14292.4,2.32399,3.14866,2.09352,0.02329,0.04328,0.01216,0.00409,2.66906,3.97662,2.48185,0.000748036,0.000748036,0.000748036
35,14682.8,2.30295,3.09828,2.08143,0.07438,0.03456,0.0228,0.00574,2.63112,4.00736,2.44634,0.000737037,0.000737037,0.000737037
36,15066.5,2.37698,3.19184,2.12903,0.06013,0.03236,0.01565,0.00492,2.72585,3.84586,2.59731,0.000726038,0.000726038,0.000726038
37,15451.7,2.27477,3.01155,2.1231,0.0237,0.02064,0.01512,0.00498,2.75197,3.91989,2.64708,0.00071504,0.00071504,0.00071504
