epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1432,1.09465,3.40719,1.59606,0.0028,0.6631,0.024,0.01215,1.46674,4.49162,1.90142,5e-05,5e-05,5e-05
2,43.5387,0.82418,3.32542,1.43123,0.00254,0.59643,0.03082,0.01808,1.5199,4.50886,1.99138,0.000110272,0.000110272,0.000110272
3,63.2006,0.81096,3.18204,1.45858,0.0026,0.59643,0.05563,0.03365,1.51922,4.48656,2.02108,0.00016807,0.00016807,0.00016807
4,81.9053,0.77688,2.95801,1.39917,0.00298,0.63214,0.18223,0.12442,1.49038,4.45695,2.02831,0.000223392,0.000223392,0.000223392
5,100.881,0.66973,2.85647,1.34314,0.00329,0.63214,0.19561,0.12602,1.52887,4.36737,2.05881,0.00027624,0.00027624,0.00027624
6,120.132,0.68906,2.7062,1.36034,0.00371,0.71548,0.14616,0.07233,1.47954,4.42457,1.95644,0.000326613,0.000326613,0.000326613
7,140.15,0.80376,2.5742,1.43291,0.00414,0.67976,0.0557,0.03153,1.64514,4.42263,2.0374,0.00037451,0.00037451,0.00037451
8,161.045,0.69953,2.46526,1.35196,0.00329,0.51905,0.18495,0.13363,1.56251,4.2638,2.09685,0.000419932,0.000419932,0.000419932
9,181.311,0.88302,2.40927,1.55152,0.00382,0.67976,0.07011,0.03528,2.27061,4.52787,2.73446,0.00046288,0.00046288,0.00046288
10,202.472,0.9444,2.44863,1.52105,0.00358,0.6381,0.08033,0.02475,2.34755,4.48382,2.82524,0.000503353,0.000503353,0.000503353
11,223.846,0.79632,2.3751,1.37793,0.28696,0.08333,0.0784,0.02447,2.11909,4.49364,2.63435,0.00054135,0.00054135,0.00054135
12,245.421,0.85352,2.36849,1.41977,0.33544,0.18931,0.15252,0.10663,1.9138,4.15839,2.46886,0.000576873,0.000576873,0.000576873
13,266.476,0.84529,2.3242,1.44249,0.34771,0.19167,0.12414,0.07945,1.89974,4.0481,2.48816,0.00060992,0.00060992,0.00060992
14,288.111,0.84964,2.18661,1.46887,0.70618,0.175,0.15824,0.09055,1.94539,3.98105,2.55286,0.000640492,0.000640492,0.000640492
15,315.719,0.82266,2.26218,1.42614,0.61999,0.13333,0.07941,0.02737,2.04627,4.07939,2.58413,0.00066859,0.00066859,0.00066859
16,343.652,0.92545,2.30727,1.55584,0.37423,0.21071,0.07545,0.02633,2.14982,4.38304,2.73595,0.000694212,0.000694212,0.000694212
17,371.432,0.93149,2.2559,1.46909,0.48667,0.14405,0.0891,0.02699,2.22404,4.34881,2.98703,0.00071736,0.00071736,0.00071736
18,401.43,0.97116,2.38987,1.57629,0.44932,0.16905,0.07525,0.02719,2.05746,4.11173,2.83727,0.000738032,0.000738032,0.000738032
19,428.427,0.79343,2.08824,1.41035,0.40316,0.17741,0.11507,0.06909,1.80185,3.96601,2.54141,0.00075623,0.00075623,0.00075623
20,457.019,0.76183,2.04389,1.38298,0.35742,0.21071,0.08254,0.05118,1.73483,4.63546,2.48591,0.000771953,0.000771953,0.000771953
21,482.089,0.75612,2.05436,1.39059,0.39119,0.19405,0.11211,0.06374,1.64669,4.00994,2.42701,0.000755,0.000755,0.000755
22,529.571,0.9037,2.15481,1.47215,0.36277,0.10361,0.08832,0.05608,1.69584,3.87238,2.30945,0.00073025,0.00073025,0.00073025
23,560.704,0.74579,1.95304,1.36093,0.30829,0.10238,0.08024,0.04528,1.72089,3.98192,2.28465,0.0007055,0.0007055,0.0007055
